Sr_No,Customer_Name,Overview,Geographical_Presence,Product_Offering,Industry_Vertical,Cloud_Platforms,License_Ecosystem,Optimization_Type,Pain_Points,Trigger_Event,Key_Stakeholders,Cloud_Optimization_Potential,ELO_Optimization_Potential,Total_Optimization_Potential,Decision_Maker,Phone,Fax,Email,Website,Annual_IT_Spend_M,Current_Cloud_Spend_M,Current_License_Spend_M,Potential_Cloud_Savings_M,Potential_License_Savings_M,Total_Potential_Savings_M,Number_of_Employees,IT_Team_Size,Number_of_VMs,Physical_Servers,Number_of_Databases,Number_of_Applications,Microsoft_Licenses,SAP_Licenses,Oracle_Licenses,Azure_VMs,Azure_Storage_TB,Azure_Monthly_Spend_K,AWS_EC2_Instances,AWS_S3_Storage_TB,AWS_Monthly_Spend_K,GCP_VMs,GCP_Storage_TB,GCP_Monthly_Spend_K,Implementation_Cost_K,Monthly_Savings_K,ROI_Payback_Months,Last_Contact_Days_Ago,Engagement_Score
11,Caterpillar Inc.,"Manufacturer of construction and mining equipment, engines, and turbines","HQ: Peoria, IL; operates across Midwest U.S.","Manufacturing operations, smart factory systems, supply chain, ERP systems",Heavy Equipment / Manufacturing,Microsoft Azure,"AWS Services, Microsoft 365, Oracle",Enterprise License Optimization (ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,Oracle license renewal cycle; exploring license buyback and optimization strategies,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",0,16,16,CTO,+1 (479) 234-5915,+1 (313) 423-2188,contact@caterpillarinc.com,www.caterpillarinc.com,54,15.52,21.58,0.0,3.45,3.45,31209,692,2246,568,155,371,16436,1227,2051,956,195,1293.3,0,0,0.0,0,0,0.0,90,287.5,0.3,113,9
12,General Electric,"Multinational conglomerate with aviation, healthcare, and power divisions","HQ: Boston, MA; operates across Northeast U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Industrial Conglomerate,Microsoft Azure,"Oracle Cloud, SAP, Microsoft",Both (Cloud FinOps + ELO),Multi-cloud cost optimization and license compliance across distributed systems,Strategic Azure partnership to migrate data estate and SAP; Azure ML deployment in U.S. markets,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",25,18,43,CTO,+1 (914) 209-3546,+1 (513) 388-4450,contact@generalelectric.com,www.generalelectric.com,417,105.44,140.74,26.36,25.33,51.69,74201,2609,2557,102,67,1399,60518,9166,772,207,220,8786.7,0,0,0.0,0,0,0.0,247,4307.5,0.1,34,5
13,3M Company,"Diversified technology company manufacturing industrial, safety and consumer products","HQ: St. Paul, MN; operates across Midwest U.S.","Product development, cloud services, R&D systems, enterprise platforms",Industrial / Technology,AWS (Amazon Web Services),"Microsoft 365, SAP, Oracle Database",Both (Cloud FinOps + ELO),Managing massive data/analytics workloads and modernizing ERP; Need cost control & governance at scale,Strategic Azure partnership to migrate data estate and SAP; Azure ML deployment in U.S. markets,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",23,10,33,CIO,+1 (732) 696-3426,+1 (479) 230-1685,contact@3mcompany.com,www.3mcompany.com,207,53.69,80.03,12.35,8.0,20.35,15458,726,2220,748,147,1465,6684,2997,2343,0,0,0.0,1991,258,4474.2,0,0,0.0,299,1695.8,0.2,159,3
14,Honeywell International,"Technology and manufacturing company serving aerospace, building, and materials","HQ: Charlotte, NC; operates across Southeast U.S.","Product development, cloud services, R&D systems, enterprise platforms",Aerospace / Technology,AWS (Amazon Web Services),"Microsoft 365, SAP S/4HANA",Cloud FinOps,"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",Strategic Azure migration with Accenture/Avanade; cloud-first operating model,"CIO, VP Digital/IT, Head of Cloud Transformation, Global Procurement (IT)",24,0,24,Chief Technology Officer,+1 (412) 373-3608,+1 (914) 491-1634,contact@honeywellinternation.com,www.honeywellinternation.com,489,142.4,117.32,34.18,0.0,34.18,125665,3831,2364,278,32,1451,30313,26213,10806,0,0,0.0,770,492,11866.7,0,0,0.0,67,2848.3,0.0,72,6
15,Deere & Company,"Agricultural, construction, and forestry machinery manufacturer","HQ: Moline, IL; operates across Midwest U.S.","Manufacturing operations, smart factory systems, supply chain, ERP systems",Agriculture / Manufacturing,Microsoft Azure,"AWS Services, Microsoft 365, Oracle",Enterprise License Optimization (ELO),Managing massive data/analytics workloads and modernizing ERP; Need cost control & governance at scale,Multi-cloud expansion for disaster recovery and workload optimization,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",0,12,12,CTO,+1 (205) 211-8119,+1 (732) 846-6139,contact@deere&company.com,www.deere&company.com,273,90.6,82.52,0.0,9.9,9.9,105976,4979,2057,310,42,993,5221,17136,17693,1606,418,7550.0,0,0,0.0,0,0,0.0,290,825.0,0.4,172,4
16,Lockheed Martin,"Aerospace, defense, security, and advanced technologies company","HQ: Bethesda, MD; operates across Mid-Atlantic U.S.","Aerospace systems, defense programs, manufacturing, supply chain",Aerospace / Defense,Google Cloud Platform,"AWS Services, Microsoft 365, Oracle",Both (Cloud FinOps + ELO),Hybrid infrastructure creating licensing grey areas between on-prem perpetual and cloud subscription models,Oracle license renewal cycle; exploring license buyback and optimization strategies,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",25,15,40,CTO,+1 (513) 782-7691,+1 (732) 512-5844,contact@lockheedmartin.com,www.lockheedmartin.com,333,62.67,94.6,15.67,14.19,29.86,104390,4208,1925,680,174,931,76819,27419,63,0,0,0.0,0,0,0.0,0,0,0.0,127,2488.3,0.1,74,4
17,Starbucks Corporation,Coffeehouse chain with global presence and digital transformation initiatives,"HQ: Seattle, WA; operates across Pacific Northwest U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Food & Beverage / Retail,Multi-cloud (Azure + AWS),"Microsoft, SAP, IBM Mainframe",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,Recent Oracle audit notice triggering compliance review and optimization initiative,"CIO, VP Enterprise Apps, Head of Manufacturing IT/OT, SAM Lead",22,17,39,VP Digital,+1 (914) 390-9445,+1 (732) 195-4848,contact@starbuckscorporation.com,www.starbuckscorporation.com,394,95.79,142.36,21.07,24.2,45.27,43627,904,2505,536,57,1032,32160,10418,3235,1671,406,7982.5,986,303,7982.5,0,0,0.0,152,3772.5,0.0,63,3
18,CVS Health,Healthcare company with retail pharmacy and healthcare services,"HQ: Woonsocket, RI; operates across Northeast U.S.","Healthcare services, pharmaceutical R&D, medical devices, patient systems",Healthcare / Retail,Microsoft Azure,"Microsoft 365, SAP HANA, Power Platform",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,Strategic Azure migration with Accenture/Avanade; cloud-first operating model,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",27,16,43,VP Infrastructure,+1 (205) 670-5082,+1 (914) 567-3184,contact@cvshealth.com,www.cvshealth.com,460,133.12,140.86,35.94,22.54,58.48,88177,4276,4125,677,278,973,76810,14711,5265,1723,491,11093.3,0,0,0.0,0,0,0.0,171,4873.3,0.0,116,5
19,Target Corporation,General merchandise retailer with extensive supply chain operations,"HQ: Minneapolis, MN; operates across Midwest U.S.","Retail operations, e-commerce, supply chain, point-of-sale systems, analytics",Retail,AWS (Amazon Web Services),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Enterprise License Optimization (ELO),Rising cloud costs post-migration; lack of granular cost allocation and chargeback mechanisms,SAP-to-Azure migration; adoption of SAP IBP & Azure ML/IoT in smart factories,"CIO, VP Digital/IT, Head of Cloud Transformation, Global Procurement (IT)",0,20,20,VP Infrastructure,+1 (914) 830-5681,+1 (412) 378-6502,contact@targetcorporation.com,www.targetcorporation.com,213,89.01,46.03,0.0,9.21,9.21,44539,1199,1751,773,129,231,32188,6778,5471,0,0,0.0,1311,288,7417.5,0,0,0.0,156,767.5,0.2,16,4
20,American Airlines Group,Major U.S. airline with global operations,"HQ: Fort Worth, TX; operates across South Central U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Airlines / Transportation,AWS (Amazon Web Services),"AWS Services, Microsoft 365, Oracle",Both (Cloud FinOps + ELO),"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",SAP S/4HANA migration project kickoff; re-evaluating license requirements,"CIO, VP Enterprise Apps, Head of Manufacturing IT/OT, SAM Lead",27,19,46,VP Infrastructure,+1 (205) 460-5892,+1 (479) 973-7865,contact@americanairlinesgrou.com,www.americanairlinesgrou.com,325,121.63,100.5,32.84,19.09,51.93,62812,2176,2735,496,268,159,30484,11114,11008,0,0,0.0,1590,458,10135.8,0,0,0.0,153,4327.5,0.0,43,8
21,Chevron Corporation,"Integrated energy company in oil, gas, and renewable energy","HQ: San Ramon, CA; operates across West Coast U.S.","Oilfield services, digital operations, subsurface software, enterprise applications",Energy / Oil & Gas,AWS (Amazon Web Services),"Microsoft 365, SAP HANA, Power Platform",Both (Cloud FinOps + ELO),"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",Strategic Azure partnership to migrate data estate and SAP; Azure ML deployment in U.S. markets,"CIO, VP Enterprise Apps, Head of Manufacturing IT/OT, SAM Lead",24,19,43,VP Digital,+1 (313) 286-1823,+1 (513) 488-6363,contact@chevroncorporation.com,www.chevroncorporation.com,158,45.25,42.27,10.86,8.03,18.89,104385,2959,3953,308,61,1063,7540,24644,17725,0,0,0.0,306,229,3770.8,0,0,0.0,107,1574.2,0.1,167,2
22,Boeing Company,Aerospace company manufacturing commercial airplanes and defense systems,"HQ: Chicago, IL; operates across Midwest U.S.","Aerospace systems, defense programs, manufacturing, supply chain",Aerospace / Defense,AWS (Amazon Web Services),"Microsoft 365, SAP HANA, Power Platform",Both (Cloud FinOps + ELO),"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",SAP S/4HANA migration project kickoff; re-evaluating license requirements,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",18,13,31,VP Enterprise Applications,+1 (713) 584-2874,+1 (412) 576-5198,contact@boeingcompany.com,www.boeingcompany.com,442,115.22,141.96,20.74,18.45,39.19,35024,1517,1841,368,75,1285,5841,5211,4766,0,0,0.0,1587,242,9601.7,0,0,0.0,151,3265.8,0.0,51,2
23,Nike Inc.,Athletic footwear and apparel company with global manufacturing,"HQ: Beaverton, OR; operates across Pacific Northwest U.S.","Retail operations, e-commerce, supply chain, point-of-sale systems, analytics",Retail / Consumer Goods,Multi-cloud (AWS + GCP),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Both (Cloud FinOps + ELO),Hybrid infrastructure creating licensing grey areas between on-prem perpetual and cloud subscription models,Strategic Azure partnership to migrate data estate and SAP; Azure ML deployment in U.S. markets,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",26,14,40,CIO,+1 (732) 645-8018,+1 (732) 170-9289,contact@nikeinc.com,www.nikeinc.com,381,96.15,140.94,25.0,19.73,44.73,133503,3092,3467,700,255,413,62080,11643,24095,0,0,0.0,1268,383,8012.5,376,277,8012.5,169,3727.5,0.0,112,10
24,Goldman Sachs,Investment banking and financial services company,"HQ: New York, NY; operates across Northeast U.S.","Financial services, trading platforms, risk management, customer banking systems",Financial Services / Investment Banking,Google Cloud Platform,"Microsoft, SAP, IBM Mainframe",Cloud FinOps,Multi-cloud cost optimization and license compliance across distributed systems,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",19,0,19,VP Infrastructure,+1 (479) 444-1470,+1 (313) 971-6325,contact@goldmansachs.com,www.goldmansachs.com,143,42.37,38.75,8.05,0.0,8.05,72725,2197,2763,619,25,1158,30042,2905,4004,0,0,0.0,0,0,0.0,0,0,0.0,234,670.8,0.3,105,8
25,Pfizer Inc.,"Pharmaceutical corporation with research, development, and manufacturing","HQ: New York, NY; operates across Northeast U.S.","Healthcare services, pharmaceutical R&D, medical devices, patient systems",Pharmaceuticals / Healthcare,Multi-cloud (AWS + GCP),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Both (Cloud FinOps + ELO),Rising cloud costs post-migration; lack of granular cost allocation and chargeback mechanisms,SAP HANA migration and scale-up on Azure,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",25,17,42,CTO,+1 (412) 514-4986,+1 (513) 779-7046,contact@pfizerinc.com,www.pfizerinc.com,292,92.28,78.48,23.07,13.34,36.41,149281,4467,4217,327,176,614,65434,8007,23685,0,0,0.0,594,211,7690.0,222,124,7690.0,99,3034.2,0.0,56,8
26,Cisco Systems,Technology company specializing in networking hardware and software,"HQ: San Jose, CA; operates across West Coast U.S.","Product development, cloud services, R&D systems, enterprise platforms",Technology / Networking,Google Cloud Platform,"Oracle Cloud, SAP, Microsoft",Both (Cloud FinOps + ELO),Multi-cloud cost optimization and license compliance across distributed systems,SAP-to-Azure migration; adoption of SAP IBP & Azure ML/IoT in smart factories,"CIO, VP Digital/IT, Head of Cloud Transformation, Global Procurement (IT)",28,13,41,VP Digital,+1 (513) 114-9751,+1 (713) 380-1745,contact@ciscosystems.com,www.ciscosystems.com,77,24.33,26.14,6.81,3.4,10.21,38103,1491,4521,155,26,1275,23634,7790,3971,0,0,0.0,0,0,0.0,0,0,0.0,162,850.8,0.2,88,3
27,Intel Corporation,Semiconductor chip manufacturer with global operations,"HQ: Santa Clara, CA; operates across West Coast U.S.","Product development, cloud services, R&D systems, enterprise platforms",Technology / Semiconductors,Microsoft Azure,"Oracle Cloud, SAP, Microsoft",Both (Cloud FinOps + ELO),SAP licensing complexity during cloud transformation; need visibility into actual usage vs. entitlements,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",16,11,27,CIO,+1 (713) 252-5978,+1 (914) 354-2940,contact@intelcorporation.com,www.intelcorporation.com,335,127.08,107.62,20.33,11.84,32.17,64162,2776,3616,511,246,708,61371,14151,5053,1364,367,10590.0,0,0,0.0,0,0,0.0,65,2680.8,0.0,157,2
28,Verizon Communications,Telecommunications company providing wireless and wireline services,"HQ: New York, NY; operates across Northeast U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Telecommunications,AWS (Amazon Web Services),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Cloud FinOps,Managing massive data/analytics workloads and modernizing ERP; Need cost control & governance at scale,Strategic Azure migration with Accenture/Avanade; cloud-first operating model,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",22,0,22,VP Digital,+1 (914) 260-1043,+1 (479) 561-8699,contact@verizoncommunication.com,www.verizoncommunication.com,199,31.8,51.27,7.0,0.0,7.0,79112,3250,4219,122,139,641,30928,14030,1930,0,0,0.0,1315,165,2650.0,0,0,0.0,215,583.3,0.4,39,5
29,Marriott International,Hospitality company operating hotels and resorts worldwide,"HQ: Bethesda, MD; operates across Mid-Atlantic U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Hospitality / Travel,AWS (Amazon Web Services),"Microsoft 365, SAP S/4HANA",Both (Cloud FinOps + ELO),Multi-cloud cost optimization and license compliance across distributed systems,SAP S/4HANA migration project kickoff; re-evaluating license requirements,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",15,12,27,CTO,+1 (313) 227-8679,+1 (513) 816-7594,contact@marriottinternationa.com,www.marriottinternationa.com,189,56.73,56.47,8.51,6.78,15.29,26087,989,4039,380,148,152,7992,1975,4762,0,0,0.0,1402,60,4727.5,0,0,0.0,245,1274.2,0.2,173,5
30,FedEx Corporation,Logistics and transportation company with global delivery network,"HQ: Memphis, TN; operates across South Central U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Logistics / Transportation,Multi-cloud (AWS + GCP),"Microsoft 365, SAP HANA, Power Platform",Cloud FinOps,Oracle license audit risk; need comprehensive asset management and compliance tracking,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, VP Digital/IT, Head of Cloud Transformation, Global Procurement (IT)",25,0,25,VP Digital,+1 (479) 750-9056,+1 (914) 581-6700,contact@fedexcorporation.com,www.fedexcorporation.com,259,64.75,86.51,16.19,0.0,16.19,47159,1409,4558,345,225,1226,7404,7551,1492,0,0,0.0,844,179,5395.8,431,89,5395.8,298,1349.2,0.2,104,9
